c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,CST_A,AT	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,BE	495302 	479186 	516460 	: 	1741137 	1716704 
FOR,NR,I551,CST_A,BG	13573512 	13067986 	10540063 	11283163 	11698956 	11015616 
FOR,NR,I551,CST_A,CH	: 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,CY	15606749 	14194938 	12255673 	12872854 	13141237 	13476337 
FOR,NR,I551,CST_A,CZ	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,DE	5225307 	5016694 	4901797 	4637507 	4243047 	3914888 
FOR,NR,I551,CST_A,DK	6473281 	6267927 	6138901 	6143722 	5680211 	5398519 
FOR,NR,I551,CST_A,EA	436512549 e	414608905 	: 	: 	: 	: 
FOR,NR,I551,CST_A,EE	3288407 	3238388 	3058485 	3174211 	3187324 	3184653 
FOR,NR,I551,CST_A,EL	72331534 	65102679 	62671515 	60022237 	56366737 	49952987 
FOR,NR,I551,CST_A,ES	193351204 	187790962 	171180006 	166626378 	163516869 	156954181 
FOR,NR,I551,CST_A,EU27	483621929 e	460495184 	: 	422332970 e	410525817 	378548102 e
FOR,NR,I551,CST_A,EU28	503647027 e	479601026 	: 	439685250 e	427995372 	395931493 e
FOR,NR,I551,CST_A,FI	3029497 	2627164 	2541146 	2453351 	2484242 	2570590 
FOR,NR,I551,CST_A,FR	12605428 	11991767 	12384877 	12009884 	11780579 	11008705 
FOR,NR,I551,CST_A,HR	20025098 	19105842 	18207026 	17352280 	17469555 	17618010 
FOR,NR,I551,CST_A,HU	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,IE	: 	9135436 e	7890858 e	5865964 e	5928843 	: 
FOR,NR,I551,CST_A,IS	: 	4078034 	3260274 	2522589 	2105534 	1839856 
FOR,NR,I551,CST_A,IT	64374314 	62026752 	60974940 	62605673 	62458265 	59986128 
FOR,NR,I551,CST_A,LI	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,LT	320809 	300194 	288548 	313157 	311980 	295233 
FOR,NR,I551,CST_A,LU	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,LV	2713535 	2494577 	2366987 	2355102 	2146656 	2005059 
FOR,NR,I551,CST_A,ME	: 	2634216 	2404392 	: 	: 	2444941 
FOR,NR,I551,CST_A,MK	0 	0 	0 	0 	: 	: 
FOR,NR,I551,CST_A,MT	8917011 	8354465 	8302348 	8182364 	7940350 	7344253 
FOR,NR,I551,CST_A,NL	4656712 	4229063 	4131998 	3848657 	3588097 	3069572 
FOR,NR,I551,CST_A,NO	: 	5244177 	4762618 	4394778 	3891267 	3784574 
FOR,NR,I551,CST_A,PL	3034318 	2858301 	2526410 	2386214 	2145749 	1841003 
FOR,NR,I551,CST_A,PT	39381919 	36631711 	33158941 	31091310 	28091421 	25602948 
FOR,NR,I551,CST_A,RO	202463 	228855 	258631 	229306 	187674 	192563 
FOR,NR,I551,CST_A,RS	: 	: 	0 	: 	0 	: 
FOR,NR,I551,CST_A,SE	7210375 	6847779 	6457610 	5659868 	5143666 	4992221 
FOR,NR,I551,CST_A,SI	1079385 	994929 	946486 	924394 	910870 	911597 
FOR,NR,I551,CST_A,SK	0 	0 	0 	0 	0 	0 
FOR,NR,I551,CST_A,UK	: 	16615431 	: 	: 	17831907 	9291134 
FOR,NR,I551,NCST_A,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 
FOR,NR,I551,NCST_A,BE	11136613 	9735884 	11518092 	: 	9883360 	9829709 
FOR,NR,I551,NCST_A,BG	3159110 	2796786 	2555657 	2480835 	2288559 	2136091 
FOR,NR,I551,NCST_A,CH	: 	19261903 	19552258 	19882606 	19709473 	19051600 
FOR,NR,I551,NCST_A,CY	339706 	309504 	292605 	0 	0 	0 
FOR,NR,I551,NCST_A,CZ	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 
FOR,NR,I551,NCST_A,DE	63427550 	60844056 	59988394 	56674252 	54073388 	51609471 
FOR,NR,I551,NCST_A,DK	389611 	373093 	348166 	337854 	329872 	325283 
FOR,NR,I551,NCST_A,EA	354301084 e	334373086 	: 	: 	: 	: 
FOR,NR,I551,NCST_A,EE	365718 	320965 	309466 	341465 	349551 	314030 
FOR,NR,I551,NCST_A,EL	1142698 	838739 	899325 	879736 	691545 	586520 
FOR,NR,I551,NCST_A,ES	31404584 	29138850 	26800817 	23904363 	21879365 	21604120 
FOR,NR,I551,NCST_A,EU27	483049522 e	458865055 	: 	419183601 e	410951517 	397910750 e
FOR,NR,I551,NCST_A,EU28	485172876 e	460631212 	: 	420723245 e	412382564 	398767623 e
FOR,NR,I551,NCST_A,FI	2696782 	2346018 	2135499 	2341864 	2421893 	2377856 
FOR,NR,I551,NCST_A,FR	63820715 	58253600 	62072050 	61543062 	61839319 	57775570 
FOR,NR,I551,NCST_A,HR	2123354 	1766157 	1644188 	1539644 	1431047 	1261342 
FOR,NR,I551,NCST_A,HU	12754054 	11801752 	11092521 	10653116 	10367322 	9938268 
FOR,NR,I551,NCST_A,IE	: 	3768608 e	2899102 e	2802239 e	2729981 	: 
FOR,NR,I551,NCST_A,IS	: 	493452 	352772 	264665 	241006 	184465 
FOR,NR,I551,NCST_A,IT	71739782 	69961955 	68705924 	64768067 	63872023 	62714215 
FOR,NR,I551,NCST_A,LI	125122 	107631 	90419 	108994 	111533 	111345 
FOR,NR,I551,NCST_A,LT	2205954 	2129305 	1958281 	1938016 	1857107 	1706512 
FOR,NR,I551,NCST_A,LU	1526416 	1593649 	1586274 	1538265 	1413420 	1424273 
FOR,NR,I551,NCST_A,LV	211542 	180708 	186190 	174840 	147940 	138918 
FOR,NR,I551,NCST_A,ME	: 	260267 	223056 	: 	: 	176401 
FOR,NR,I551,NCST_A,MK	1216277 	988699 	957803 	826623 	: 	: 
FOR,NR,I551,NCST_A,MT	0 	0 	0 	0 	0 	0 
FOR,NR,I551,NCST_A,NL	21686668 	18940179 	17575568 	16335131 	14762872 	13864482 
FOR,NR,I551,NCST_A,NO	: 	1328900 	1226824 	1186880 	1177616 	1265999 
FOR,NR,I551,NCST_A,PL	10604450 	10059918 	8775958 	8281008 	7983716 	7583547 
FOR,NR,I551,NCST_A,PT	3470778 	2694742 	2315573 	1958754 	1733148 	1653632 
FOR,NR,I551,NCST_A,RO	4597530 	4170742 	3841756 	3274216 	2980117 	2808919 
FOR,NR,I551,NCST_A,RS	: 	: 	2066142 	: 	1616648 	1518577 
FOR,NR,I551,NCST_A,SE	2124634 	1994864 	1943392 	1761562 	1731093 	1658224 
FOR,NR,I551,NCST_A,SI	4465429 	3989758 	3593859 	3369619 	3291197 	3238445 
FOR,NR,I551,NCST_A,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 
FOR,NR,I551,NCST_A,UK	: 	71425720 	: 	: 	58587210 	55978024 
FOR,NR,I551,TOTAL,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 
FOR,NR,I551,TOTAL,AT1	13478297 	13023563 	12698655 	11968758 	11383794 	11135367 
FOR,NR,I551,TOTAL,AT11	399985 	402992 	396860 	397644 	388728 	405465 
FOR,NR,I551,TOTAL,AT12	1871961 	1685511 	1635559 	1560151 	1520040 	1572197 
FOR,NR,I551,TOTAL,AT13	11206351 	10935060 	10666236 	10010963 	9475026 	9157705 
